Team,OPS,ISO,wRC+
NYY,0.787,0.204,119
LAD,0.768,0.188,113
TOR,0.761,0.162,112
PHI,0.759,0.173,109
ARI,0.757,0.182,109
NYM,0.753,0.178,112
CHC,0.751,0.181,110
ATH,0.749,0.178,105
BOS,0.745,0.167,103
MIL,0.736,0.145,107
SEA,0.74,0.176,113
DET,0.73,0.167,103
ATL,0.72,0.155,101
HOU,0.714,0.149,100
TBR,0.714,0.15,98
SDP,0.711,0.138,102
MIN,0.708,0.159,97
MIA,0.708,0.143,96
CIN,0.706,0.146,92
KCR,0.706,0.15,93
SFG,0.697,0.151,97
BAL,0.699,0.159,96
STL,0.693,0.134,96
WSN,0.693,0.147,93
LAA,0.695,0.172,92
TEX,0.684,0.147,92
CHW,0.675,0.141,88
COL,0.679,0.149,74
CLE,0.67,0.147,87
PIT,0.655,0.119,82
